index,timestamp,rssi_dbm
1,2025-12-19T08:29:40.169721+00:00,
2,2025-12-19T08:29:41.171207+00:00,
3,2025-12-19T08:29:42.172370+00:00,
4,2025-12-19T08:29:43.173742+00:00,
5,2025-12-19T08:29:44.174459+00:00,
6,2025-12-19T08:29:45.175830+00:00,
7,2025-12-19T08:29:46.177224+00:00,
8,2025-12-19T08:29:47.178586+00:00,
9,2025-12-19T08:29:48.179084+00:00,
10,2025-12-19T08:29:49.180469+00:00,
11,2025-12-19T08:29:50.181813+00:00,
12,2025-12-19T08:29:51.183154+00:00,
13,2025-12-19T08:29:52.184662+00:00,
14,2025-12-19T08:29:53.186156+00:00,
15,2025-12-19T08:29:54.187558+00:00,
16,2025-12-19T08:29:55.188924+00:00,
17,2025-12-19T08:29:56.190342+00:00,
18,2025-12-19T08:29:57.191712+00:00,
19,2025-12-19T08:29:58.193085+00:00,
20,2025-12-19T08:29:59.194497+00:00,
