seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,32428,2025-12-19T08:31:44.342535+00:00,240,244,1766133104.342508
1,32455,2025-12-19T08:31:44.387610+00:00,240,244,1766133104.387586
2,32481,2025-12-19T08:31:44.432437+00:00,240,244,1766133104.432419
3,32507,2025-12-19T08:31:44.475593+00:00,240,244,1766133104.475558
4,32533,2025-12-19T08:31:44.520536+00:00,240,244,1766133104.520516
5,32559,2025-12-19T08:31:44.565609+00:00,240,244,1766133104.565590
6,32585,2025-12-19T08:31:44.610599+00:00,240,244,1766133104.610579
7,32611,2025-12-19T08:31:44.655600+00:00,240,244,1766133104.655581
8,32637,2025-12-19T08:31:44.700569+00:00,240,244,1766133104.700550
9,32663,2025-12-19T08:31:44.745645+00:00,240,244,1766133104.745626
10,32689,2025-12-19T08:31:44.790494+00:00,240,244,1766133104.790475
11,32715,2025-12-19T08:31:44.835618+00:00,240,244,1766133104.835598
12,32741,2025-12-19T08:31:44.880576+00:00,240,244,1766133104.880557
13,32767,2025-12-19T08:31:44.925638+00:00,240,244,1766133104.925618
14,32793,2025-12-19T08:31:44.970501+00:00,240,244,1766133104.970482
15,32819,2025-12-19T08:31:45.015631+00:00,240,244,1766133105.015597
16,32845,2025-12-19T08:31:45.060537+00:00,240,244,1766133105.060516
17,32871,2025-12-19T08:31:45.105599+00:00,240,244,1766133105.105580
18,32897,2025-12-19T08:31:45.150563+00:00,240,244,1766133105.150545
19,32923,2025-12-19T08:31:45.195700+00:00,240,244,1766133105.195681
20,32949,2025-12-19T08:31:45.240622+00:00,240,244,1766133105.240603
21,32975,2025-12-19T08:31:45.285521+00:00,240,244,1766133105.285505
22,33001,2025-12-19T08:31:45.330726+00:00,240,244,1766133105.330708
23,33028,2025-12-19T08:31:45.375873+00:00,240,244,1766133105.375854
24,33054,2025-12-19T08:31:45.420698+00:00,240,244,1766133105.420679
25,33080,2025-12-19T08:31:45.465569+00:00,240,244,1766133105.465531
26,33106,2025-12-19T08:31:45.510482+00:00,240,244,1766133105.510463
27,33132,2025-12-19T08:31:45.555695+00:00,240,244,1766133105.555674
28,33158,2025-12-19T08:31:45.600636+00:00,240,244,1766133105.600618
29,33183,2025-12-19T08:31:45.645685+00:00,240,244,1766133105.645667
30,33209,2025-12-19T08:31:45.690624+00:00,240,244,1766133105.690606
31,33235,2025-12-19T08:31:45.735622+00:00,240,244,1766133105.735603
32,33261,2025-12-19T08:31:45.780692+00:00,240,244,1766133105.780673
33,33287,2025-12-19T08:31:45.825693+00:00,240,244,1766133105.825674
34,33313,2025-12-19T08:31:45.870667+00:00,240,244,1766133105.870648
35,33339,2025-12-19T08:31:45.915549+00:00,240,244,1766133105.915530
36,33365,2025-12-19T08:31:45.960703+00:00,240,244,1766133105.960684
37,33391,2025-12-19T08:31:46.005555+00:00,240,244,1766133106.005536
38,33417,2025-12-19T08:31:46.050632+00:00,240,244,1766133106.050611
39,33443,2025-12-19T08:31:46.095616+00:00,240,244,1766133106.095597
40,33469,2025-12-19T08:31:46.140688+00:00,240,244,1766133106.140668
41,33495,2025-12-19T08:31:46.185622+00:00,240,244,1766133106.185603
42,33521,2025-12-19T08:31:46.230689+00:00,240,244,1766133106.230669
43,33547,2025-12-19T08:31:46.275695+00:00,240,244,1766133106.275675
44,33573,2025-12-19T08:31:46.320685+00:00,240,244,1766133106.320666
45,33599,2025-12-19T08:31:46.367683+00:00,240,244,1766133106.367664
46,33625,2025-12-19T08:31:46.410608+00:00,240,244,1766133106.410588
47,33652,2025-12-19T08:31:46.455757+00:00,240,244,1766133106.455728
48,33678,2025-12-19T08:31:46.500594+00:00,240,244,1766133106.500571
49,33704,2025-12-19T08:31:46.545600+00:00,240,244,1766133106.545576
50,33730,2025-12-19T08:31:46.590726+00:00,240,244,1766133106.590687
51,33756,2025-12-19T08:31:46.636604+00:00,240,244,1766133106.636583
52,33782,2025-12-19T08:31:46.680700+00:00,240,244,1766133106.680679
53,33808,2025-12-19T08:31:46.725681+00:00,240,244,1766133106.725661
54,33834,2025-12-19T08:31:46.770634+00:00,240,244,1766133106.770613
55,33860,2025-12-19T08:31:46.815612+00:00,240,244,1766133106.815594
56,33886,2025-12-19T08:31:46.860685+00:00,240,244,1766133106.860665
57,33912,2025-12-19T08:31:46.905681+00:00,240,244,1766133106.905659
58,33938,2025-12-19T08:31:46.950690+00:00,240,244,1766133106.950670
59,33964,2025-12-19T08:31:46.995688+00:00,240,244,1766133106.995670
60,33990,2025-12-19T08:31:47.040697+00:00,240,244,1766133107.040677
61,34016,2025-12-19T08:31:47.085710+00:00,240,244,1766133107.085691
62,34042,2025-12-19T08:31:47.130508+00:00,240,244,1766133107.130488
63,34068,2025-12-19T08:31:47.175700+00:00,240,244,1766133107.175681
64,34094,2025-12-19T08:31:47.220752+00:00,240,244,1766133107.220734
65,34119,2025-12-19T08:31:47.265639+00:00,240,244,1766133107.265618
66,34145,2025-12-19T08:31:47.310534+00:00,240,244,1766133107.310515
67,34171,2025-12-19T08:31:47.355650+00:00,240,244,1766133107.355631
68,34197,2025-12-19T08:31:47.400525+00:00,240,244,1766133107.400504
69,34223,2025-12-19T08:31:47.445524+00:00,240,244,1766133107.445506
70,34249,2025-12-19T08:31:47.491528+00:00,240,244,1766133107.491505
71,34275,2025-12-19T08:31:47.535596+00:00,240,244,1766133107.535579
72,34301,2025-12-19T08:31:47.580663+00:00,240,244,1766133107.580639
73,34327,2025-12-19T08:31:47.625566+00:00,240,244,1766133107.625546
74,34353,2025-12-19T08:31:47.670643+00:00,240,244,1766133107.670623
75,34379,2025-12-19T08:31:47.715536+00:00,240,244,1766133107.715516
76,34405,2025-12-19T08:31:47.760559+00:00,240,244,1766133107.760541
77,34431,2025-12-19T08:31:47.805544+00:00,240,244,1766133107.805525
78,34457,2025-12-19T08:31:47.850481+00:00,240,244,1766133107.850461
79,34483,2025-12-19T08:31:47.897561+00:00,240,244,1766133107.897541
80,34509,2025-12-19T08:31:47.940515+00:00,240,244,1766133107.940495
81,34535,2025-12-19T08:31:47.985587+00:00,240,244,1766133107.985555
82,34561,2025-12-19T08:31:48.030645+00:00,240,244,1766133108.030626
83,34587,2025-12-19T08:31:48.075560+00:00,240,244,1766133108.075541
84,34613,2025-12-19T08:31:48.120600+00:00,240,244,1766133108.120567
85,34639,2025-12-19T08:31:48.165634+00:00,240,244,1766133108.165616
86,34665,2025-12-19T08:31:48.210652+00:00,240,244,1766133108.210633
87,34691,2025-12-19T08:31:48.255671+00:00,240,244,1766133108.255652
88,34717,2025-12-19T08:31:48.300637+00:00,240,244,1766133108.300617
89,34743,2025-12-19T08:31:48.345630+00:00,240,244,1766133108.345610
