seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,54021,2025-12-19T21:48:21.673514+00:00,240,244,1766180901.673488
1,54047,2025-12-19T21:48:21.719469+00:00,240,244,1766180901.719444
2,54073,2025-12-19T21:48:21.766546+00:00,240,244,1766180901.766524
3,54099,2025-12-19T21:48:21.806378+00:00,240,244,1766180901.806360
4,54125,2025-12-19T21:48:21.851474+00:00,240,244,1766180901.851454
5,54151,2025-12-19T21:48:21.896484+00:00,240,244,1766180901.896464
6,54177,2025-12-19T21:48:21.941492+00:00,240,244,1766180901.941470
7,54203,2025-12-19T21:48:21.986453+00:00,240,244,1766180901.986432
8,54228,2025-12-19T21:48:22.031494+00:00,240,244,1766180902.031473
9,54254,2025-12-19T21:48:22.076491+00:00,240,244,1766180902.076472
10,54280,2025-12-19T21:48:22.121483+00:00,240,244,1766180902.121464
11,54305,2025-12-19T21:48:22.166493+00:00,240,244,1766180902.166475
12,54331,2025-12-19T21:48:22.211438+00:00,240,244,1766180902.211414
13,54356,2025-12-19T21:48:22.303434+00:00,240,244,1766180902.303414
14,54382,2025-12-19T21:48:22.391482+00:00,240,244,1766180902.391464
15,54408,2025-12-19T21:48:22.394633+00:00,240,244,1766180902.394615
16,54434,2025-12-19T21:48:22.436494+00:00,240,244,1766180902.436463
17,54460,2025-12-19T21:48:22.481492+00:00,240,244,1766180902.481473
18,54485,2025-12-19T21:48:22.526503+00:00,240,244,1766180902.526483
19,54511,2025-12-19T21:48:22.571445+00:00,240,244,1766180902.571425
20,54537,2025-12-19T21:48:22.751501+00:00,240,244,1766180902.751480
21,54562,2025-12-19T21:48:22.796429+00:00,240,244,1766180902.796409
22,54588,2025-12-19T21:48:22.841492+00:00,240,244,1766180902.841472
23,54614,2025-12-19T21:48:22.886494+00:00,240,244,1766180902.886473
24,54639,2025-12-19T21:48:22.931486+00:00,240,244,1766180902.931466
25,54665,2025-12-19T21:48:22.976419+00:00,240,244,1766180902.976399
26,54691,2025-12-19T21:48:23.021510+00:00,240,244,1766180903.021488
27,54717,2025-12-19T21:48:23.066500+00:00,240,244,1766180903.066480
28,54743,2025-12-19T21:48:23.111383+00:00,240,244,1766180903.111362
29,54769,2025-12-19T21:48:23.156322+00:00,240,244,1766180903.156303
30,54795,2025-12-19T21:48:23.201534+00:00,240,244,1766180903.201513
31,54821,2025-12-19T21:48:23.246470+00:00,240,244,1766180903.246449
32,54847,2025-12-19T21:48:23.291500+00:00,240,244,1766180903.291479
33,54872,2025-12-19T21:48:23.336530+00:00,240,244,1766180903.336509
34,54898,2025-12-19T21:48:23.381553+00:00,240,244,1766180903.381518
35,54924,2025-12-19T21:48:23.426541+00:00,240,244,1766180903.426521
36,54949,2025-12-19T21:48:23.473406+00:00,240,244,1766180903.473387
37,54975,2025-12-19T21:48:23.516368+00:00,240,244,1766180903.516348
38,55002,2025-12-19T21:48:23.561546+00:00,240,244,1766180903.561527
39,55028,2025-12-19T21:48:23.606540+00:00,240,244,1766180903.606519
40,55054,2025-12-19T21:48:23.743538+00:00,240,244,1766180903.743516
