seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,45916,2025-12-20T04:38:55.171898+00:00,56,60,1766205535.171870
1,45942,2025-12-20T04:38:55.216992+00:00,56,60,1766205535.216965
2,45967,2025-12-20T04:38:55.261967+00:00,56,60,1766205535.261941
3,45993,2025-12-20T04:38:55.306859+00:00,56,60,1766205535.306839
4,46019,2025-12-20T04:38:55.487010+00:00,56,60,1766205535.486983
5,46044,2025-12-20T04:38:55.576899+00:00,56,60,1766205535.576874
6,46070,2025-12-20T04:38:55.576985+00:00,56,60,1766205535.576979
7,46096,2025-12-20T04:38:55.578891+00:00,56,60,1766205535.578873
8,46122,2025-12-20T04:38:55.578957+00:00,56,60,1766205535.578951
9,46147,2025-12-20T04:38:55.580903+00:00,56,60,1766205535.580887
10,46173,2025-12-20T04:38:55.580970+00:00,56,60,1766205535.580965
11,46198,2025-12-20T04:38:55.582919+00:00,56,60,1766205535.582900
12,46224,2025-12-20T04:38:55.582990+00:00,56,60,1766205535.582983
13,46250,2025-12-20T04:38:55.584900+00:00,56,60,1766205535.584884
14,46275,2025-12-20T04:38:55.584965+00:00,56,60,1766205535.584960
15,46301,2025-12-20T04:38:55.587822+00:00,56,60,1766205535.587807
16,46327,2025-12-20T04:38:55.587885+00:00,56,60,1766205535.587879
17,46352,2025-12-20T04:38:55.622136+00:00,56,60,1766205535.622114
18,46378,2025-12-20T04:38:55.666999+00:00,56,60,1766205535.666974
19,46404,2025-12-20T04:38:55.667097+00:00,56,60,1766205535.667090
20,46429,2025-12-20T04:38:55.711883+00:00,56,60,1766205535.711861
21,46455,2025-12-20T04:38:55.756965+00:00,56,60,1766205535.756940
22,46481,2025-12-20T04:38:55.802074+00:00,56,60,1766205535.802047
23,46506,2025-12-20T04:38:55.847004+00:00,56,60,1766205535.846981
24,46532,2025-12-20T04:38:55.847095+00:00,56,60,1766205535.847085
25,46558,2025-12-20T04:38:55.848883+00:00,56,60,1766205535.848871
26,46584,2025-12-20T04:38:55.848936+00:00,56,60,1766205535.848929
27,46609,2025-12-20T04:38:55.891937+00:00,56,60,1766205535.891913
28,46635,2025-12-20T04:38:56.072106+00:00,56,60,1766205536.072077
29,46660,2025-12-20T04:38:56.072240+00:00,56,60,1766205536.072206
30,46686,2025-12-20T04:38:56.073859+00:00,56,60,1766205536.073833
31,46712,2025-12-20T04:38:56.073958+00:00,56,60,1766205536.073948
32,46738,2025-12-20T04:38:56.116876+00:00,56,60,1766205536.116849
33,46763,2025-12-20T04:38:56.116971+00:00,56,60,1766205536.116961
34,46789,2025-12-20T04:38:56.162117+00:00,56,60,1766205536.162091
35,46815,2025-12-20T04:38:56.206949+00:00,56,60,1766205536.206925
36,46840,2025-12-20T04:38:56.207029+00:00,56,60,1766205536.207023
37,46866,2025-12-20T04:38:56.251910+00:00,56,60,1766205536.251889
38,46892,2025-12-20T04:38:56.251987+00:00,56,60,1766205536.251981
39,46917,2025-12-20T04:38:56.253884+00:00,56,60,1766205536.253872
40,46943,2025-12-20T04:38:56.253933+00:00,56,60,1766205536.253929
41,46969,2025-12-20T04:38:56.255824+00:00,56,60,1766205536.255814
42,46994,2025-12-20T04:38:56.257927+00:00,56,60,1766205536.257914
43,47020,2025-12-20T04:38:56.341957+00:00,56,60,1766205536.341928
44,47045,2025-12-20T04:38:56.387006+00:00,56,60,1766205536.386985
45,47071,2025-12-20T04:38:56.387086+00:00,56,60,1766205536.387078
46,47097,2025-12-20T04:38:56.431864+00:00,56,60,1766205536.431842
47,47122,2025-12-20T04:38:56.431938+00:00,56,60,1766205536.431933
48,47148,2025-12-20T04:38:56.521943+00:00,56,60,1766205536.521915
49,47173,2025-12-20T04:38:56.522050+00:00,56,60,1766205536.522040
50,47199,2025-12-20T04:38:56.523864+00:00,56,60,1766205536.523830
