scenario,phy,payload_bytes,trial,packets,estimated_lost_packets,duration_s,throughput_kbps,notification_rate_per_s,connection_attempts_used,command_errors,log_json,log_csv,notes
0ft,auto,20,1,1140,0,30.06189799308777,6.067481169749822,37.921757310936385,1,0,logs/ble/20251220_043628_ble_throughput.json,logs/ble/20251220_043628_ble_throughput.csv,LinuxA+MockRing
0ft,auto,20,2,1153,0,30.19317054748535,6.109990989845366,38.18744368653354,1,0,logs/ble/20251220_043718_ble_throughput.json,logs/ble/20251220_043718_ble_throughput.csv,LinuxA+MockRing
0ft,auto,60,1,1171,0,30.105061769485474,18.670614407100302,38.89711334812563,1,0,logs/ble/20251220_043759_ble_throughput.json,logs/ble/20251220_043759_ble_throughput.csv,LinuxA+MockRing
0ft,auto,60,2,1080,0,30.195176362991333,17.168305088470227,35.76730226764631,1,0,logs/ble/20251220_043840_ble_throughput.json,logs/ble/20251220_043840_ble_throughput.csv,LinuxA+MockRing
0ft,auto,120,1,1060,0,30.01611828804016,33.901785375274855,35.314359765911306,1,0,logs/ble/20251220_043928_ble_throughput.json,logs/ble/20251220_043928_ble_throughput.csv,LinuxA+MockRing
0ft,auto,120,2,1162,0,30.015028953552246,37.16538144028608,38.713939000298,1,0,logs/ble/20251220_044009_ble_throughput.json,logs/ble/20251220_044009_ble_throughput.csv,LinuxA+MockRing
0ft,auto,180,1,1161,0,30.05988049507141,55.61698757498764,38.62290803818586,1,0,logs/ble/20251220_044102_ble_throughput.json,logs/ble/20251220_044102_ble_throughput.csv,LinuxA+MockRing
0ft,auto,180,2,1159,0,30.014893531799316,55.6043951390938,38.614163291037364,1,0,logs/ble/20251220_044150_ble_throughput.json,logs/ble/20251220_044150_ble_throughput.csv,LinuxA+MockRing
0ft,auto,244,1,521,0,30.057024717330933,33.83541816145231,17.333718320416143,1,0,logs/ble/20251220_044237_ble_throughput.json,logs/ble/20251220_044237_ble_throughput.csv,LinuxA+MockRing
0ft,auto,244,2,596,0,30.105146169662476,38.64429003079786,19.797279728892345,1,0,logs/ble/20251220_044316_ble_throughput.json,logs/ble/20251220_044316_ble_throughput.csv,LinuxA+MockRing
6ft,auto,20,1,1170,0,30.014973163604736,6.2368871356178035,38.98054459761128,1,0,logs/ble/20251220_044618_ble_throughput.json,logs/ble/20251220_044618_ble_throughput.csv,LinuxA+MockRing
6ft,auto,20,2,1128,0,30.014033555984497,6.0131871200635105,37.582419500396945,1,0,logs/ble/20251220_044704_ble_throughput.json,logs/ble/20251220_044704_ble_throughput.csv,LinuxA+MockRing
6ft,auto,60,1,1168,0,30.060109853744507,18.650630444391492,38.855480092482274,1,0,logs/ble/20251220_044743_ble_throughput.json,logs/ble/20251220_044743_ble_throughput.csv,LinuxA+MockRing
6ft,auto,60,2,1169,0,30.01517081260681,18.69454628471817,38.94697142649619,1,0,logs/ble/20251220_044822_ble_throughput.json,logs/ble/20251220_044822_ble_throughput.csv,LinuxA+MockRing
6ft,auto,120,1,1163,0,30.012927532196045,37.19996987305914,38.74996861776994,1,0,logs/ble/20251220_044903_ble_throughput.json,logs/ble/20251220_044903_ble_throughput.csv,LinuxA+MockRing
6ft,auto,120,2,1164,0,29.92493486404419,37.34143466232375,38.8973277732539,1,0,logs/ble/20251220_044942_ble_throughput.json,logs/ble/20251220_044942_ble_throughput.csv,LinuxA+MockRing
6ft,auto,180,1,1158,0,29.97995901107788,55.62115676621958,38.625803309874705,1,0,logs/ble/20251220_045031_ble_throughput.json,logs/ble/20251220_045031_ble_throughput.csv,LinuxA+MockRing
6ft,auto,180,2,1159,0,30.05997371673584,55.52100662918442,38.556254603600294,1,0,logs/ble/20251220_045112_ble_throughput.json,logs/ble/20251220_045112_ble_throughput.csv,LinuxA+MockRing
6ft,auto,244,1,652,0,30.057971954345703,42.34164573488451,21.69141687237936,1,0,logs/ble/20251220_045150_ble_throughput.json,logs/ble/20251220_045150_ble_throughput.csv,LinuxA+MockRing
6ft,auto,244,2,638,0,30.14993929862976,41.30608647880758,21.16090495840552,1,0,logs/ble/20251220_045228_ble_throughput.json,logs/ble/20251220_045228_ble_throughput.csv,LinuxA+MockRing
